,Sno_df1,Candidate_df1,Constituency_df1,Party_df1,Criminal Case_df1,Education_df1,Total Assets_df1,Liabilities_df1,id_df2,name_df2,person_name_df2,designation_df2
137,473,surendra singh nagar,Gautam Budhha Nagar,BSP,2,Graduate,"Rs 49,20,84,300
~ 49 Crore+","Rs 0
~",2296,CMC Ltd,surendra singh,Director
138,473,surendra singh nagar,Gautam Budhha Nagar,BSP,2,Graduate,"Rs 49,20,84,300
~ 49 Crore+","Rs 0
~",2771,NIIT Ltd,surendra singh,Director
139,473,surendra singh nagar,Gautam Budhha Nagar,BSP,2,Graduate,"Rs 49,20,84,300
~ 49 Crore+","Rs 0
~",24978,NIIT Technologies Ltd,surendra singh,Director
140,474,suresh kumar shetkar,Zahirabad,INC,0,Graduate,"Rs 30,11,999
~ 30 Lacs+","Rs 0
~",28245,Tecpro Systems Ltd,suresh kumar goenka,Director
141,474,suresh kumar shetkar,Zahirabad,INC,0,Graduate,"Rs 30,11,999
~ 30 Lacs+","Rs 0
~",538,Sundaram Clayton Ltd,suresh kumar sharma,Director
142,475,sushil kumar singh,Aurangabad,JD(U),4,Post Graduate,"Rs 2,08,87,871
~ 2 Crore+","Rs 7,41,199
~ 7 Lacs+",1019,HCL Infosystems Ltd,sushil kumar jain,Company Secretary
143,475,sushil kumar singh,Aurangabad,JD(U),4,Post Graduate,"Rs 2,08,87,871
~ 2 Crore+","Rs 7,41,199
~ 7 Lacs+",13153,Indian Potash Ltd,sunil kumar singh,Director
144,475,sushil kumar singh,Aurangabad,JD(U),4,Post Graduate,"Rs 2,08,87,871
~ 2 Crore+","Rs 7,41,199
~ 7 Lacs+",3348,SPML Infra Ltd,sushil kumar sethi,Managing Director
145,484,tara chand,Banswara,INC,0,Post Graduate,"Rs 65,18,752
~ 65 Lacs+","Rs 11,22,163
~ 11 Lacs+",17540,Bharat Dynamics Ltd,t ramachandru,Nominee (Govt)
146,507,virbhadra singh,Mandi,INC,0,Post Graduate,"Rs 22,52,28,748
~ 22 Crore+","Rs 6,28,864
~ 6 Lacs+",12059,NMDC Ltd,rabindra singh,Director (Personnel)
147,508,virender kashyap,Shimla,BJP,0,Post Graduate,"Rs 34,34,928
~ 34 Lacs+","Rs 0
~",27242,B.L.Kashyap & Sons Ltd,vinod kashyap,Chairman
148,508,virender kashyap,Shimla,BJP,0,Post Graduate,"Rs 34,34,928
~ 34 Lacs+","Rs 0
~",27242,B.L.Kashyap & Sons Ltd,vineet kashyap,Managing Director
149,509,virendra kumar,Tikamgarh,BJP,0,Doctorate,"Rs 25,51,466
~ 25 Lacs+","Rs 0
~",751,McNally Bharat Engineering Company Ltd,virendra kumar verma,Director
150,509,virendra kumar,Tikamgarh,BJP,0,Doctorate,"Rs 25,51,466
~ 25 Lacs+","Rs 0
~",5772,JK Paper Ltd,dhirendra kumar,Director
151,509,virendra kumar,Tikamgarh,BJP,0,Doctorate,"Rs 25,51,466
~ 25 Lacs+","Rs 0
~",23244,ISMT Ltd,virendra kapoor,Director
152,509,virendra kumar,Tikamgarh,BJP,0,Doctorate,"Rs 25,51,466
~ 25 Lacs+","Rs 0
~",28472,ACME Tele Power Ltd,virendra kumar maurya,Director
153,509,virendra kumar,Tikamgarh,BJP,0,Doctorate,"Rs 25,51,466
~ 25 Lacs+","Rs 0
~",25093,Dharampal Satyapal Ltd,ravinder kumar,Chairman
154,512,viswanathan.p,Kancheepuram,INC,0,Graduate,"Rs 56,85,495
~ 56 Lacs+","Rs 22,46,494
~ 22 Lacs+",540,Sundaram Finance Ltd,p viswanathan,Company Secretary
155,512,viswanathan.p,Kancheepuram,INC,0,Graduate,"Rs 56,85,495
~ 56 Lacs+","Rs 22,46,494
~ 22 Lacs+",12019,Coal India Ltd,m viswanathan,Company Secretary
156,519,yashwant sinha,Hazaribagh,BJP,1,Post Graduate,"Rs 3,65,76,217
~ 3 Crore+","Rs 0
~",199,Goodyear India Ltd,yashwant singh yadav,Director (HR & Corp. Affairs)
