Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
120,DINSHA ZAVARBHAI PATEL,Kheda,INC,0,10th Pass,"Rs 2,30,65,019
~ 2 Crore+","Rs 34,80,352
~ 34 Lacs+"
121,DINUBHAI BOGHABHAI SOLANKI,Junagadh,BJP,1,Graduate,"Rs 1,94,60,865
~ 1 Crore+","Rs 59,45,896
~ 59 Lacs+"
122,DIP GOGOI,Kaliabor,INC,0,Graduate,"Rs 25,39,058
~ 25 Lacs+","Rs 0
~"
123,DR JYOTI MIRDHA,Nagaur,INC,0,Graduate Professional,"Rs 3,90,39,915
~ 3 Crore+","Rs 0
~"
124,DR. BALIRAM,Lalganj,BSP,0,Doctorate,"Rs 80,03,036
~ 80 Lacs+","Rs 6,38,922
~ 6 Lacs+"
125,Dr. G. Vivekanand,Peddapalle,INC,0,Graduate Professional,"Rs 72,95,09,675
~ 72 Crore+","Rs 0
~"
126,Dr. Manda Jagannath,Nagarkurnool,INC,0,Post Graduate,"Rs 2,81,26,000
~ 2 Crore+","Rs 31,23,000
~ 31 Lacs+"
127,DR. MONAZIR HASSAN,Begusarai,JD(U),0,Doctorate,"Rs 35,83,898
~ 35 Lacs+","Rs 16,82,852
~ 16 Lacs+"
128,DR. MURLI MANOHAR JOSHI,Varanasi,BJP,1,Doctorate,"Rs 5,44,75,345
~ 5 Crore+","Rs 0
~"
129,DR. RAJAN SUSHANT,Kangra,BJP,0,Graduate Professional,"Rs 1,10,24,873
~ 1 Crore+","Rs 24,88,285
~ 24 Lacs+"
130,DR. RAMSHANKAR,Agra,BJP,0,Doctorate,"Rs 15,11,000
~ 15 Lacs+","Rs 6,39,959
~ 6 Lacs+"
131,DR. RATTAN SINGH AJNALA,Khadoor Sahib,SAD,1,Graduate Professional,"Rs 1,87,74,102
~ 1 Crore+","Rs 0
~"
132,DR. SANJAY JAISWAL,Paschim Champaran,BJP,2,Post Graduate,"Rs 1,09,50,474
~ 1 Crore+","Rs 11,69,173
~ 11 Lacs+"
133,DR. SHAFIQUR RAHMAN BARQ,Sambhal,BSP,0,Graduate,"Rs 70,59,763
~ 70 Lacs+","Rs 0
~"
134,DR. TARUN MONDAL,Jaynagar,IND,0,Graduate Professional,"Rs 18,56,636
~ 18 Lacs+","Rs 5,600
~ 5 Thou+"
135,DR. THOKCHOM MEINYA,Inner Manipur,INC,0,Doctorate,"Rs 16,39,200
~ 16 Lacs+","Rs 0
~"
136,DR.NILESH NARAYAN RANE,Ratnagiri Sindhudurg,INC,1,Doctorate,"Rs 3,05,61,862
~ 3 Crore+","Rs 0
~"
137,DR.SANJAY SINGH,Sultanpur,INC,0,Doctorate,"Rs 6,22,59,720
~ 6 Crore+","Rs 0
~"
138,DR.SANJEEV GANESH NAIK,Thane,NCP,2,12th Pass,"Rs 3,04,15,344
~ 3 Crore+","Rs 0
~"
139,DUSHYANT SINGH,Jhalawar-Baran,BJP,0,Post Graduate,"Rs 6,41,10,900
~ 6 Crore+","Rs 27,79,153
~ 27 Lacs+"
140,DUTT PRIYA SUNIL,Mumbai North Central,INC,0,Graduate,"Rs 34,95,76,448
~ 34 Crore+","Rs 1,47,511
~ 1 Lacs+"
141,E Ahamed,Malappuram,MUL,0,Post Graduate,"Rs 38,87,709
~ 38 Lacs+","Rs 0
~"
142,E T Mohamed Basheer,Ponnani,MUL,0,10th Pass,"Rs 6,05,855
~ 6 Lacs+","Rs 0
~"
143,EKNATH M. GAIKWAD,Mumbai South Central,INC,0,10th Pass,"Rs 21,95,416
~ 21 Lacs+","Rs 0
~"
144,FAROOQ ABDULLAH,Srinagar,JKN,0,Graduate Professional,"Rs 9,78,41,140
~ 9 Crore+","Rs 0
~"
145,FEROZE VARUN GANDHI,Pilibhit,BJP,6,Graduate,"Rs 4,92,67,810
~ 4 Crore+","Rs 0
~"
146,G V Harsha Kumar,Amalapuram,INC,1,Post Graduate,"Rs 72,89,000
~ 72 Lacs+","Rs 10,14,298
~ 10 Lacs+"
147,G.S. BASAVARAJU,Tumkur,BJP,0,Graduate Professional,"Rs 5,43,82,029
~ 5 Crore+","Rs 87,61,621
~ 87 Lacs+"
148,GADDIGOUDAR P C,Bagalkot,BJP,0,Graduate Professional,"Rs 1,67,62,000
~ 1 Crore+","Rs 66,74,134
~ 66 Lacs+"
149,GAJENDRASINGH RAJUKHEDI,Dhar,INC,0,Graduate Professional,"Rs 2,06,53,466
~ 2 Crore+","Rs 0
~"
150,GANDHI DILIPKUMAR MANSUKHLAL,Ahmednagar,BJP,9,10th Pass,"Rs 1,30,53,391
~ 1 Crore+","Rs 9,55,351
~ 9 Lacs+"
151,GANDHISELVAN.S,Namakkal,DMK,2,Post Graduate,"Rs 40,70,482
~ 40 Lacs+","Rs 0
~"
152,GANESH SINGH,Satna,BJP,3,Post Graduate,"Rs 73,72,032
~ 73 Lacs+","Rs 16,585
~ 16 Thou+"
153,GANESHAMURTHI.A.,Erode,MDMK,1,Graduate,"Rs 2,67,29,518
~ 2 Crore+","Rs 10,85,323
~ 10 Lacs+"
154,GAVIT MANIKRAO HODLYA,Nandurbar,INC,0,5th Pass,"Rs 4,10,64,753
~ 4 Crore+","Rs 0
~"
155,GHANSYAM ANURAGI,Jalaun,SP,2,Post Graduate,"Rs 63,50,833
~ 63 Lacs+","Rs 0
~"
156,GIRIJA VYAS,Chittorgarh,INC,1,Doctorate,"Rs 87,21,354
~ 87 Lacs+","Rs 0
~"
157,GOBINDA CHANDRA NASKAR,Bangaon,AITC,0,Post Graduate,"Rs 25,49,515
~ 25 Lacs+","Rs 0
~"
158,GOPAL SINGH,Rajsamand,INC,0,Graduate Professional,"Rs 41,06,255
~ 41 Lacs+","Rs 4,89,648
~ 4 Lacs+"
159,GORAKH PRASAD JAISWAL,Deoria,BSP,0,10th Pass,"Rs 2,42,17,040
~ 2 Crore+","Rs 0
~"
160,GORAKHNATH,Bhadohi,BSP,0,Post Graduate,"Rs 1,01,58,748
~ 1 Crore+","Rs 4,33,968
~ 4 Lacs+"
161,GOVIND PRASAD MISHRA,Sidhi,BJP,0,Graduate Professional,"Rs 51,87,425
~ 51 Lacs+","Rs 0
~"
162,GUDDU PREMCHAND,Ujjain,INC,3,5th Pass,"Rs 10,50,31,313
~ 10 Crore+","Rs 15,00,000
~ 15 Lacs+"
163,Gurudas Dasgupta,Ghatal,CPI,0,Post Graduate,"Rs 36,54,001
~ 36 Lacs+","Rs 0
~"
164,Gutha Sukender Reddy,Nalgonda,INC,0,12th Pass,"Rs 1,60,40,830
~ 1 Crore+","Rs 1,66,62,997
~ 1 Crore+"
165,H D KUMARA SWAMY,Bangalore Rural,JD(S),3,Graduate,"Rs 49,16,83,477
~ 49 Crore+","Rs 33,62,37,223
~ 33 Crore+"
166,H. D. Devegowda,Hassan,JD(S),0,Others,"Rs 1,96,24,664
~ 1 Crore+","Rs 64,99,000
~ 64 Lacs+"
167,Hari Manjhi,Gaya,BJP,0,8th Pass,"Rs 14,71,374
~ 14 Lacs+","Rs 3,89,075
~ 3 Lacs+"
168,HARIBHAU MADHAV JAWALE,Raver,BJP,0,Graduate,"Rs 78,42,881
~ 78 Lacs+","Rs 6,29,917
~ 6 Lacs+"
169,HARIN PATHAK,Ahmedabad East,BJP,2,Post Graduate,"Rs 1,45,78,184
~ 1 Crore+","Rs 22,734
~ 22 Thou+"
170,Harish choudhary,Barmer,INC,0,Graduate,"Rs 49,53,849
~ 49 Lacs+","Rs 12,95,812
~ 12 Lacs+"
171,HARISH RAWAT,Hardwar,INC,1,Graduate Professional,"Rs 1,18,25,335
~ 1 Crore+","Rs 0
~"
172,HARSIMRAT KAUR,Bathinda,SAD,0,10th Pass,"Rs 60,31,00,135
~ 60 Crore+","Rs 13,800
~ 13 Thou+"
173,HASSAN KHAN,Ladakh,IND,0,Graduate,"Rs 60,65,000
~ 60 Lacs+","Rs 0
~"
174,HELEN DAVIDSON J,Kanniyakumari,DMK,0,Post Graduate,"Rs 4,84,55,728
~ 4 Crore+","Rs 21,23,538
~ 21 Lacs+"
175,HEMANAND BISWAL,Sundargarh,INC,0,12th Pass,"Rs 39,65,226
~ 39 Lacs+","Rs 0
~"
176,HUKM DEO NARAYAN YADAV,Madhubani,BJP,0,Graduate,"Rs 2,50,12,430
~ 2 Crore+","Rs 2,64,033
~ 2 Lacs+"
177,IJYARAJ SINGH,Kota,INC,0,Post Graduate,"Rs 18,01,31,144
~ 18 Crore+","Rs 0
~"
178,Inder Singh Namdhari,Chatra,IND,0,Graduate Professional,"Rs 2,12,77,657
~ 2 Crore+","Rs 0
~"
179,INDERJIT SINGH,Gurgaon,INC,0,Graduate Professional,"Rs 6,73,83,257
~ 6 Crore+","Rs 96,692
~ 96 Thou+"
180,ISMAIL HUSSAIN,Barpeta,INC,0,Post Graduate,"Rs 99,31,726
~ 99 Lacs+","Rs 0
~"
181,J. SHANTHA,Bellary,BJP,0,12th Pass,"Rs 4,65,72,264
~ 4 Crore+","Rs 0
~"
182,JADHAV BALIRAM SUKUR,Palghar,BVA,0,8th Pass,"Rs 23,99,053
~ 23 Lacs+","Rs 0
~"
183,JADHAV PRATAPRAO GANPATRAO,Buldhana,SHS,10,Graduate,"Rs 1,20,52,820
~ 1 Crore+","Rs 45,41,550
~ 45 Lacs+"
184,JAGATHRAKSHAKAN,Arakkonam,DMK,0,10th Pass,"Rs 5,91,06,399
~ 5 Crore+","Rs 0
~"
185,Jagda Nand singh,Buxar,RJD,1,Graduate Professional,"Rs 65,65,488
~ 65 Lacs+","Rs 12,263
~ 12 Thou+"
186,JAGDAMBIKA PAL,Domariyaganj,INC,1,Post Graduate,"Rs 4,97,20,730
~ 4 Crore+","Rs 45,66,564
~ 45 Lacs+"
187,JAGDISH SINGH RANA,Saharanpur,BSP,0,Graduate,"Rs 1,88,67,277
~ 1 Crore+","Rs 2,98,187
~ 2 Lacs+"
188,JAGDISHBHAI MOTIJI THAKORE,Patan,INC,0,10th Pass,"Rs 33,89,298
~ 33 Lacs+","Rs 11,58,381
~ 11 Lacs+"
189,JAI PRAKASH AGARWAL,North East Delhi,INC,0,Graduate,"Rs 2,49,28,873
~ 2 Crore+","Rs 0
~"
190,JANARDHANA SWAMY,Chitradurga,BJP,0,Post Graduate,"Rs 2,28,36,000
~ 2 Crore+","Rs 0
~"
191,Jaswant Singh,Darjeeling,BJP,0,Graduate,"Rs 8,35,71,845
~ 8 Crore+","Rs 7,44,864
~ 7 Lacs+"
192,JAYA PRADA NAHATA,Rampur,SP,0,12th Pass,"Rs 13,14,90,118
~ 13 Crore+","Rs 13,98,995
~ 13 Lacs+"
193,JAYANT K SINGH,Mathura,RLD,1,Post Graduate,"Rs 3,02,04,219
~ 3 Crore+","Rs 2,88,327
~ 2 Lacs+"
194,Jayaram Pangi,Koraput,BJD,0,10th Pass,"Rs 61,82,372
~ 61 Lacs+","Rs 0
~"
195,JAYSHREEBEN KANUBHAI PATEL,Mahesana,BJP,0,10th Pass,"Rs 33,43,068
~ 33 Lacs+","Rs 2,63,528
~ 2 Lacs+"
196,JEETENDRA SINGH,Khajuraho,BJP,0,Post Graduate,"Rs 1,05,96,506
~ 1 Crore+","Rs 0
~"
197,JEYADURAI S R,Thoothukkudi,DMK,0,Graduate,"Rs 8,75,26,313
~ 8 Crore+","Rs 10,90,000
~ 10 Lacs+"
198,Jigajinagi Ramesh Chandappa,Bijapur,BJP,0,Graduate,"Rs 1,17,53,725
~ 1 Crore+","Rs 39,02,460
~ 39 Lacs+"
199,JITENDER SINGH,Sonipat,INC,0,Graduate Professional,"Rs 17,79,080
~ 17 Lacs+","Rs 0
~"
200,JITENDRA SINGH,Alwar,INC,0,Graduate,"Rs 6,79,67,810
~ 6 Crore+","Rs 0
~"
201,Jose K Mani,Kottayam,KEC(M),0,Post Graduate,"Rs 96,51,729
~ 96 Lacs+","Rs 0
~"
202,JOSEPH TOPPO,Tezpur,AGP,0,10th Pass,"Rs 9,36,292
~ 9 Lacs+","Rs 5,35,000
~ 5 Lacs+"
203,JYOTI DHURVE,Betul,BJP,0,Post Graduate,"Rs 71,35,000
~ 71 Lacs+","Rs 6,38,122
~ 6 Lacs+"
204,JYOTIRADITYA MADHAVRAO SCINDIA,Guna,INC,0,Post Graduate,"Rs 14,90,94,212
~ 14 Crore+","Rs 0
~"
205,K C Venugopal,Alappuzha,INC,0,Post Graduate,"Rs 35,33,704
~ 35 Lacs+","Rs 2,03,374
~ 2 Lacs+"
206,K P Dhanapalan,Chalakudy,INC,1,Graduate,"Rs 29,54,364
~ 29 Lacs+","Rs 0
~"
207,K Sudhakaran Kavinte Arikathu,Kannur,INC,3,Post Graduate,"Rs 73,59,040
~ 73 Lacs+","Rs 6,00,000
~ 6 Lacs+"
208,K. CHANDRASEKHARA RAO,Mahbubnagar,TRS,2,Graduate,"Rs 2,26,69,420
~ 2 Crore+","Rs 0
~"
209,K. KRUPA RANI,Srikakulam,INC,0,Graduate Professional,"Rs 1,84,91,160
~ 1 Crore+","Rs 26,42,781
~ 26 Lacs+"
210,K.C. SINGH BABA,Nainital-Udhamsingh Nagar,INC,0,12th Pass,"Rs 4,39,87,049
~ 4 Crore+","Rs 6,49,024
~ 6 Lacs+"
211,K.H.Muniyappa,Kolar,INC,0,Graduate Professional,"Rs 5,19,21,402
~ 5 Crore+","Rs 2,10,19,510
~ 2 Crore+"
212,Kabindra Purkayastha,Silchar,BJP,0,Post Graduate,"Rs 20,98,543
~ 20 Lacs+","Rs 81,279
~ 81 Thou+"
213,KABIR SUMAN,Jadavpur,AITC,0,Graduate,"Rs 32,06,685
~ 32 Lacs+","Rs 0
~"
214,KADEER RANA,Muzaffarnagar,BSP,4,Literate,"Rs 5,84,51,906
~ 5 Crore+","Rs 0
~"
215,KAILASH JOSHI,Bhopal,BJP,0,10th Pass,"Rs 58,85,927
~ 58 Lacs+","Rs 0
~"
216,KAISAR JAHAN,Sitapur,BSP,0,8th Pass,"Rs 65,53,956
~ 65 Lacs+","Rs 0
~"
217,KAKALI GHOSH DASTIDAR,Barasat,AITC,0,Graduate Professional,"Rs 1,25,76,309
~ 1 Crore+","Rs 3,35,000
~ 3 Lacs+"
218,KALIKESH NARAYAN SINGH DEO,Bolangir,BJD,2,Graduate,"Rs 3,61,48,185
~ 3 Crore+","Rs 14,31,104
~ 14 Lacs+"
219,KALMADI SURESH,Pune,INC,1,Post Graduate,"Rs 12,81,65,624
~ 12 Crore+","Rs 0
~"
220,KALYAN BANERJEE,Sreerampur,AITC,0,Graduate Professional,"Rs 1,61,46,266
~ 1 Crore+","Rs 21,25,000
~ 21 Lacs+"
221,KAMAL KISHOR,Bahraich,INC,1,Graduate,"Rs 13,73,495
~ 13 Lacs+","Rs 0
~"
222,Kamaladevi Patale,Janjgir-Champa,BJP,0,12th Pass,"Rs 35,56,426
~ 35 Lacs+","Rs 80,000
~ 80 Thou+"
223,KAMESHWAR BAITHA,Palamau,JMM,46,10th Pass,"Rs 5,70,000
~ 5 Lacs+","Rs 0
~"
224,KAMLESH,Bulandshahr,SP,0,5th Pass,"Rs 8,44,005
~ 8 Lacs+","Rs 0
~"
225,KAMLESH PASWAN,Bansgaon,BJP,0,12th Pass,"Rs 17,68,000
~ 17 Lacs+","Rs 0
~"
226,KANTILAL BHURIA,Ratlam,INC,0,Post Graduate,"Rs 3,05,57,089
~ 3 Crore+","Rs 0
~"
227,KAPIL MUNI KARWARIYA,Phulpur,BSP,4,Graduate Professional,Nil,"Rs 0
~"
228,KAPIL SIBAL,Chandni Chowk,INC,0,Post Graduate,"Rs 31,97,22,459
~ 31 Crore+","Rs 0
~"
229,KARIYA MUNDA,Khunti,BJP,0,Post Graduate,"Rs 59,89,638
~ 59 Lacs+","Rs 1,33,125
~ 1 Lacs+"
230,KATTI RAMESH VISHWANATH,Chikkodi,BJP,1,12th Pass,"Rs 2,83,52,578
~ 2 Crore+","Rs 0
~"
231,KAUSHALENDRA KUMAR,Nalanda,JD(U),0,12th Pass,"Rs 71,33,058
~ 71 Lacs+","Rs 2,27,065
~ 2 Lacs+"
232,KAVURI SAMBASIVA RAO,Eluru,INC,0,Graduate Professional,"Rs 12,60,50,111
~ 12 Crore+","Rs 9,45,674
~ 9 Lacs+"
233,KHAGEN DAS,Tripura West,CPM,0,Post Graduate,"Rs 34,92,580
~ 34 Lacs+","Rs 0
~"
234,KHATGAONK PATIL BHASKARRAO BAPURAO,Nanded,INC,4,Graduate,"Rs 6,24,16,000
~ 6 Crore+","Rs 2,60,000
~ 2 Lacs+"
235,KHILADI LAL BAIRWA,Karauli-Dholpur,INC,0,Graduate,"Rs 6,28,02,340
~ 6 Crore+","Rs 56,93,479
~ 56 Lacs+"
236,KIRITBHAI PREMJIBHAI SOLANKI,Ahmedabad West,BJP,0,Graduate Professional,"Rs 2,61,22,439
~ 2 Crore+","Rs 7,09,488
~ 7 Lacs+"
237,KIRSHNA TIRATH,North West Delhi,INC,0,Graduate Professional,"Rs 2,11,46,350
~ 2 Crore+","Rs 0
~"
238,KIRTI AZAD,Darbhanga,BJP,3,Graduate,"Rs 97,89,047
~ 97 Lacs+","Rs 0
~"
239,KISANBHAI VESTABHAI PATEL,Valsad,INC,2,12th Pass,"Rs 15,20,245
~ 15 Lacs+","Rs 0
~"
240,Kodikunnil Suresh,Mavelikkara,INC,4,Graduate Professional,"Rs 16,52,747
~ 16 Lacs+","Rs 77,210
~ 77 Thou+"
241,KOMATIREDDY RAJ GOPAL REDDY,Bhongir,INC,0,Graduate,"Rs 19,47,63,618
~ 19 Crore+","Rs 60,57,899
~ 60 Lacs+"
242,Konakalla Narayana Rao,Machilipatnam,TDP,0,12th Pass,"Rs 86,16,000
~ 86 Lacs+","Rs 37,87,000
~ 37 Lacs+"
243,KOTLA JAYA SURYA PRAKASH REDDY,Kurnool,INC,0,Graduate,"Rs 5,37,19,195
~ 5 Crore+","Rs 30,34,000
~ 30 Lacs+"
244,KOWASE MAROTRAO SAINUJI,Gadchiroli-Chimur,INC,0,Graduate,"Rs 1,07,76,756
~ 1 Crore+","Rs 5,00,000
~ 5 Lacs+"
245,KRISHNASAMY M,Arani,INC,0,Graduate Professional,"Rs 6,23,85,765
~ 6 Crore+","Rs 1,67,92,067
~ 1 Crore+"
246,KRISTAPPA NIMMALA,Hindupur,TDP,0,Graduate,"Rs 1,59,17,465
~ 1 Crore+","Rs 12,16,390
~ 12 Lacs+"
247,KU. RATANJEET PRATAP NARAYAN SINGH,Kushi Nagar,INC,0,Graduate,"Rs 3,99,75,893
~ 3 Crore+","Rs 1,00,000
~ 1 Lacs+"
248,KUMAR.P,Tiruchirappalli,ADMK,0,Graduate Professional,"Rs 53,45,000
~ 53 Lacs+","Rs 8,06,395
~ 8 Lacs+"
249,KUNVARJIBHAI MOHANBHAI BAVALIYA,Rajkot,INC,3,Graduate,"Rs 45,60,852
~ 45 Lacs+","Rs 5,99,799
~ 5 Lacs+"
250,KUNWAR JITIN PRASAD,Dhaurahra,INC,0,Post Graduate,"Rs 3,26,56,975
~ 3 Crore+","Rs 0
~"
251,KUNWAR REWATI RAMAN SINGH ALIAS MANI JI,Allahabad,SP,0,Graduate Professional,"Rs 1,86,40,164
~ 1 Crore+","Rs 2,26,475
~ 2 Lacs+"
252,L Rajagopal,Vijayawada,INC,0,Graduate Professional,"Rs 1,22,29,64,909
~ 122 Crore+","Rs 2,39,67,984
~ 2 Crore+"
253,LAL CHAND KATARIA,Jaipur Rural,INC,0,10th Pass,"Rs 3,06,50,401
~ 3 Crore+","Rs 7,02,835
~ 7 Lacs+"
254,LAL JI TANDON,Lucknow,BJP,0,Graduate,"Rs 2,17,00,160
~ 2 Crore+","Rs 0
~"
255,Lalit Mohan Suklabaidya,Karimganj,INC,0,Post Graduate,"Rs 46,44,049
~ 46 Lacs+","Rs 0
~"
256,LALKRISHNA KISHANCHAND ADVANI,Gandhinagar,BJP,1,Graduate Professional,"Rs 3,55,43,172
~ 3 Crore+","Rs 0
~"
257,LALUBHAI PATEL,Daman & Diu,BJP,0,10th Pass,"Rs 3,68,79,385
~ 3 Crore+","Rs 21,35,939
~ 21 Lacs+"
258,Laxman Tudu,Mayurbhanj,BJD,0,Graduate,"Rs 1,73,000
~ 1 Lacs+","Rs 38,986
~ 38 Thou+"
259,LINGAM P,Tenkasi,CPI,0,Graduate,"Rs 1,59,365
~ 1 Lacs+","Rs 23,014
~ 23 Thou+"
260,M B Rajesh,Palakkad,CPM,16,Post Graduate,"Rs 11,05,474
~ 11 Lacs+","Rs 5,04,893
~ 5 Lacs+"
261,M I Shanavas,Wayanad,INC,0,Post Graduate,"Rs 2,39,04,424
~ 2 Crore+","Rs 25,48,978
~ 25 Lacs+"
262,M K Raghavan,Kozhikode,INC,0,Graduate,"Rs 14,09,694
~ 14 Lacs+","Rs 10,55,000
~ 10 Lacs+"
263,M M Pallamraju,Kakinada,INC,0,Post Graduate,"Rs 6,55,89,882
~ 6 Crore+","Rs 11,12,763
~ 11 Lacs+"
264,M Rajamohan Reddy,Nellore,INC,0,Graduate Professional,"Rs 36,34,62,696
~ 36 Crore+","Rs 0
~"
265,M. Veerappa Moily,Chikkballapur,INC,0,Graduate,"Rs 2,93,74,446
~ 2 Crore+","Rs 10,83,264
~ 10 Lacs+"
266,MADAN LAL SHARMA,Jammu,INC,1,10th Pass,"Rs 1,18,82,734
~ 1 Crore+","Rs 1,49,750
~ 1 Lacs+"
267,MADHU KORA,Singhbhum,IND,0,Graduate,"Rs 98,32,144
~ 98 Lacs+","Rs 0
~"
268,Madhu Yaskhi Goud,Nizamabad,INC,0,Post Graduate,"Rs 11,91,08,338
~ 11 Crore+","Rs 1,54,22,084
~ 1 Crore+"
269,Madhusudan Yadav,Rajnandgaon,BJP,1,12th Pass,"Rs 11,65,680
~ 11 Lacs+","Rs 0
~"
270,MAGUNTA SRINIVASULU REDDY,Ongole,INC,0,Graduate,"Rs 10,20,65,901
~ 10 Crore+","Rs 0
~"
271,MAHABAL MISHRA,West Delhi,INC,0,12th Pass,"Rs 6,19,94,338
~ 6 Crore+","Rs 9,89,118
~ 9 Lacs+"
272,Mahabali Singh,Karakat,JD(U),3,8th Pass,"Rs 61,94,257
~ 61 Lacs+","Rs 0
~"
273,MAHADEV SINGH,Sikar,INC,0,Post Graduate,"Rs 78,79,689
~ 78 Lacs+","Rs 0
~"
274,Mahendra Kumar Roy,Jalpaiguri,CPM,0,Graduate Professional,"Rs 28,78,591
~ 28 Lacs+","Rs 0
~"
275,MAHENDRASINH PRUTHVISINH CHAUHAN,Sabarkantha,BJP,0,Graduate Professional,"Rs 88,42,370
~ 88 Lacs+","Rs 1,61,190
~ 1 Lacs+"
276,MAHESH JOSHI,Jaipur,INC,0,Doctorate,"Rs 1,03,88,500
~ 1 Crore+","Rs 12,45,000
~ 12 Lacs+"
277,MAHESWER HAZARI,Samastipur,JD(U),0,Post Graduate,"Rs 69,64,921
~ 69 Lacs+","Rs 10,54,356
~ 10 Lacs+"
278,MAKNSINGH SOLANKI (BABUJI),Khargone,BJP,0,5th Pass,"Rs 58,38,265
~ 58 Lacs+","Rs 2,04,826
~ 2 Lacs+"
279,Mallikarjun Kharge,Gulbarga,INC,0,Graduate Professional,"Rs 5,06,46,533
~ 5 Crore+","Rs 55,08,946
~ 55 Lacs+"
280,MAMATA BANERJEE,Kolkata Dakshin,AITC,0,Post Graduate,"Rs 4,73,194
~ 4 Lacs+","Rs 0
~"
281,MANEKA GANDHI,Aonla,BJP,1,12th Pass,"Rs 18,28,33,477
~ 18 Crore+","Rs 0
~"
282,MANGANI LAL MANDAL,Jhanjharpur,JD(U),2,Post Graduate,"Rs 53,98,803
~ 53 Lacs+","Rs 17,09,884
~ 17 Lacs+"
283,MANIAN O.S,Mayiladuthurai,ADMK,1,12th Pass,"Rs 86,35,089
~ 86 Lacs+","Rs 20,00,000
~ 20 Lacs+"
284,MANICKA TAGORE,Virudhunagar,INC,0,Graduate Professional,"Rs 33,13,910
~ 33 Lacs+","Rs 0
~"
285,MANISH TEWARI,Ludhiana,INC,0,Graduate Professional,"Rs 2,99,41,543
~ 2 Crore+","Rs 0
~"
286,Manohar Tirkey,Alipurduars,RSP,0,10th Pass,"Rs 23,58,725
~ 23 Lacs+","Rs 0
~"
287,MANSUKHBHAI DHANJIBHAI VASAVA,Bharuch,BJP,0,Graduate,"Rs 24,41,000
~ 24 Lacs+","Rs 8,33,462
~ 8 Lacs+"
288,Mausam Noor,Maldaha Uttar,INC,0,Graduate Professional,"Rs 18,47,359
~ 18 Lacs+","Rs 2,34,488
~ 2 Lacs+"
289,Meena Singh,Arrah,JD(U),0,Graduate,"Rs 4,24,36,500
~ 4 Crore+","Rs 0
~"
290,MEENAKSHI NATRAJAN,Mandsour,INC,0,Post Graduate,"Rs 11,26,966
~ 11 Lacs+","Rs 0
~"
291,MEIRA KUMAR,Sasaram,INC,0,Post Graduate,"Rs 10,15,65,500
~ 10 Crore+","Rs 0
~"
292,MIRZA MEHBOOB BEG,Anantnag,JKN,0,Graduate Professional,"Rs 48,50,000
~ 48 Lacs+","Rs 0
~"
293,MITHLESH,Shahjahanpur,SP,0,Graduate,"Rs 80,35,655
~ 80 Lacs+","Rs 17,46,024
~ 17 Lacs+"
294,MOHAMMAD ASRARUL HAQUE,Kishanganj,INC,0,Post Graduate,"Rs 36,46,860
~ 36 Lacs+","Rs 0
~"
295,MOHAMMED AZHARUDDIN,Moradabad,INC,0,Graduate,"Rs 2,52,33,948
~ 2 Crore+","Rs 5,65,160
~ 5 Lacs+"
296,Mohan Jena,Jajpur,BJD,0,Post Graduate,"Rs 30,46,404
~ 30 Lacs+","Rs 0
~"
297,MOHINDER SINGH KAYPEE,Jalandhar,INC,0,Graduate Professional,"Rs 4,81,96,591
~ 4 Crore+","Rs 1,25,000
~ 1 Lacs+"
298,Muhammed Hamdulla Sayeed A.B.,Lakshadweep,INC,0,Graduate Professional,"Rs 2,09,77,767
~ 2 Crore+","Rs 0
~"
299,MUKESH BHAIRAVDANJI GADHAVI,Banaskantha,INC,0,Graduate,"Rs 2,26,94,764
~ 2 Crore+","Rs 0
~"
300,MULAYAM SINGH YADAV,Mainpuri,SP,0,Post Graduate,"Rs 2,23,99,310
~ 2 Crore+","Rs 42,000
~ 42 Thou+"
301,Mullappally Ramachandran,Vadakara,INC,0,Post Graduate,"Rs 33,16,300
~ 33 Lacs+","Rs 5,02,346
~ 5 Lacs+"
302,MUNDE GOPINATHRAO PANDURANG,Beed,BJP,4,Graduate Professional,"Rs 6,22,50,603
~ 6 Crore+","Rs 4,50,90,238
~ 4 Crore+"
303,MUTTEMWAR VILASRAO BABURAOJI,Nagpur,INC,0,Graduate,"Rs 1,53,02,294
~ 1 Crore+","Rs 27,56,726
~ 27 Lacs+"
304,N Chaluvarayaswamy,Mandya,JD(S),15,12th Pass,"Rs 5,41,68,804
~ 5 Crore+","Rs 41,25,000
~ 41 Lacs+"
305,N Peethambarakurup,Kollam,INC,2,Graduate,"Rs 28,10,132
~ 28 Lacs+","Rs 0
~"
306,N. Dharamsingh,Bidar,INC,5,Post Graduate,"Rs 14,23,94,557
~ 14 Crore+","Rs 4,39,58,832
~ 4 Crore+"
307,Nalin Kumar Kateel,Dakshina Kannada,BJP,1,10th Pass,"Rs 53,91,279
~ 53 Lacs+","Rs 28,44,596
~ 28 Lacs+"
308,Nama Nageswara Rao,Khammam,TDP,0,12th Pass,"Rs 1,73,75,08,117
~ 173 Crore+","Rs 0
~"
309,"NAPOLEON,D.",Perambalur,DMK,0,Graduate,"Rs 19,14,19,973
~ 19 Crore+","Rs 2,82,70,000
~ 2 Crore+"
310,Narahari Mahato,Purulia,AIFB,0,Post Graduate,"Rs 30,86,000
~ 30 Lacs+","Rs 4,00,000
~ 4 Lacs+"
